Algeria,Africa,8665
Morocco,Africa,3342
Tunisia,Africa,614
Angola,Africa,3647
Botswana,Africa,371
Burkina Faso,Africa,139
Cameroon,Africa,347
Cape Verde,Africa,9.7
Chad,Africa,242
Congo,Africa,239
Cote d'Ivoire,Africa,357
Ethiopia,Africa,328
Ghana,Africa,97.5
Kenya,Africa,516
Lesotho,Africa,57
Madagascar,Africa,72
Mali,Africa,194
Mauritius,Africa,10.1
Namibia,Africa,427
Nigeria,Africa,2410
Rwanda,Africa,75.4
Seychelles,Africa,9.3
Sierra Leone,Africa,26
South Africa,Africa,5108
South Sudan,Africa,597
Swaziland,Africa,123
Tanzania,Africa,255
Togo,Africa,59
Uganda,Africa,253
Zambia,Africa,306
Zimbabwe,Africa,153
Belize,Americas,15.7
Dominican Rep.,Americas,341
El Salvador,Americas,222
Guatemala,Americas,200
Honduras,Americas,185
Mexico,Americas,6022
Nicaragua,Americas,54.7
Canada,Americas,24659
USA,Americas,711421
Argentina,Americas,3295
Bolivia,Americas,352
Brazil,Americas,35360
Chile,Americas,8040
Colombia,Americas,10957
Ecuador,Americas,2308
Guyana,Americas,29.9
Paraguay,Americas,250
Peru,Americas,2098
Uruguay,Americas,902
Venezuela,Americas,2385
Kazakhstan,Asia & Oceania,1794
Brunei,Asia & Oceania,414
Cambodia,Asia & Oceania,192
"China, P. R.",Asia & Oceania,142859
Indonesia,Asia & Oceania,5709
Japan,Asia & Oceania,59327
South Korea,Asia & Oceania,30799
Malaysia,Asia & Oceania,4587
Mongolia,Asia & Oceania,81.4
Philippines,Asia & Oceania,2417
Singapore,Asia & Oceania,9475
Taiwan,Asia & Oceania,9717
Thailand,Asia & Oceania,5521
Timor Leste,Asia & Oceania,27.3
Viet Nam,Asia & Oceania,2675
Afghanistan,Asia & Oceania,878
Bangladesh,Asia & Oceania,1436
India,Asia & Oceania,48889
Nepal,Asia & Oceania,259
Pakistan,Asia & Oceania,6282
Sri Lanka,Asia & Oceania,1557
Australia,Asia & Oceania,26706
New Zealand,Asia & Oceania,1792
Papua New Guinea,Asia & Oceania,61.1
Albania,Europe,197
Armenia,Europe,414
Austria,Europe,3589
Azerbaijan,Europe,3104
Belarus,Europe,598
Belgium,Europe,5593
Bosnia-Herzegovina,Europe,246
Bulgaria,Europe,790
Croatia,Europe,1091
Cyprus,Europe,537
Czech Rep.,Europe,2479
Denmark,Europe,4859
Estonia,Europe,371
Finland,Europe,3978
France,Europe,62535
Georgia,Europe,426
Germany,Europe,46745
Greece,Europe,8155
Hungary,Europe,1385
Ireland,Europe,1302
Italy,Europe,34501
Latvia,Europe,295
Lithuania,Europe,444
Macedonia,Europe,132
Malta,Europe,63.5
Moldova,Europe,20.8
Montenegro,Europe,87.9
Netherlands,Europe,11781
Norway,Europe,7744
Poland,Europe,9705
Portugal,Europe,4670
Romania,Europe,2145
Russia,Europe,71853
Serbia,Europe,949
Slovak Rep.,Europe,1058
Slovenia,Europe,715
Spain,Europe,15178
Sweden,Europe,6811
Switzerland,Europe,5436
Turkey,Europe,17871
UK,Europe,62685
Ukraine,Europe,4078
Bahrain,Middle East,878
Egypt,Middle East,4285
Iraq,Middle East,5845
Israel,Middle East,16446
Jordan,Middle East,1368
Kuwait,Middle East,5640
Lebanon,Middle East,1754
Oman,Middle East,4291
Saudi Arabia,Middle East,48531
Syria,Middle East,2495